Price,Lot.Size,Waterfront,Age,Land.Value,New.Construct,Central.Air,Living.Area,Bedrooms,Fireplaces,Bathrooms,Rooms
132500,.09,0,42,50000,0,0,906,2,1,1,5
90000,.83,0,36,22200,0,0,1632,3,0,1.5,6
122900,1.94,0,4,21200,0,0,1416,3,0,1.5,6
325000,2.29,0,123,12600,0,0,2894,7,0,1,12
120000,.92,0,1,22300,0,0,1624,3,0,2,6
87500,.88,0,17,19400,0,0,1092,3,0,1,6
112000,1,0,12,8600,0,0,1056,3,0,1,6
457000,.43,1,53,2700,0,0,2461,4,1,2,8
130000,1.24,0,51,24800,0,0,1220,2,2,1,5
187000,.46,0,3,15200,0,0,1858,3,1,2.5,7
227000,1.8,0,201,25500,0,0,1876,3,0,2.5,7
150000,.78,0,54,24500,0,1,1554,3,1,1.5,6
108000,.9,0,48,19000,0,0,1042,2,1,2,5
175000,.47,0,15,27200,0,0,1768,3,1,2,6
200640,.08,0,0,32000,1,0,2332,4,0,2.5,8
208767,.5,0,0,32000,1,1,1662,3,0,2,6
93000,.1,0,14,2600,0,0,1480,3,1,1.5,6
216300,.1,0,0,32000,1,0,2360,4,0,2.5,8
115000,.88,0,16,10000,0,1,1560,3,1,1.5,6
117000,.07,0,15,18900,0,0,1676,4,1,1.5,7
101000,.87,0,30,8700,0,0,1056,3,1,2,6
158500,.69,0,6,3400,0,0,1368,3,0,1.5,6
174000,.64,0,9,3000,0,0,2115,4,1,2.5,8
102000,.22,0,10,7300,0,0,1170,2,0,1,5
125000,.34,0,44,19000,0,0,1224,3,0,1,6
180377,.35,0,1,37000,1,0,1820,3,1,2.5,6
163500,.28,0,21,28400,0,1,2202,3,1,2,7
275000,.55,0,14,72000,0,1,2253,3,1,2.5,7
139900,.07,0,13,24500,0,1,1602,2,0,2.5,5
227812,.01,0,0,37200,1,1,2206,4,1,2.5,8
340000,.75,0,12,82500,0,1,2836,4,1,2.5,9
139900,.29,0,15,35200,0,1,1256,2,0,1.5,5
279900,.47,0,6,20000,0,1,2340,4,1,3.5,8
362710,1,0,0,24300,1,1,2963,4,1,2.5,9
247000,.46,0,13,36600,0,1,2114,4,1,3.5,8
120000,.18,0,16,21400,0,1,1144,2,1,1,5
136000,.55,0,33,14900,0,0,988,3,1,1,6
146000,.5,0,35,28000,0,0,1984,3,0,1.5,7
125000,.28,0,16,22000,0,1,1140,2,1,2,5
150000,.15,0,14,21000,0,0,1232,2,1,1.5,5
113000,.17,0,16,15100,0,0,1492,3,0,2.5,6
150000,.77,0,7,30000,0,0,1334,3,0,1.5,6
172700,.34,0,18,27000,0,0,1638,3,1,2,6
188000,.31,0,17,27000,0,0,1561,4,0,1.5,7
107200,.16,0,19,15700,0,0,908,2,0,1,5
208700,.4,0,0,15000,0,0,2458,4,1,2.5,8
108000,.16,0,19,15100,0,0,1032,2,0,1.5,5
135000,.98,0,35,19600,0,0,1320,2,0,1,5
105000,.16,0,17,15700,0,0,912,2,1,1.5,5
101000,.17,0,18,15800,0,0,912,2,0,2,5
205000,.25,0,20,29000,0,0,1992,4,1,3,8
194500,.61,0,41,32300,0,1,2310,4,1,2.5,8
187900,.4,0,32,30000,0,1,2464,5,1,2.5,9
262000,.29,0,5,29000,0,1,2549,4,1,2.5,8
205900,.06,0,26,35900,0,1,1726,3,1,2,6
255000,.46,0,25,60500,0,1,2936,3,1,3.5,8
168500,.44,0,34,31800,0,0,1586,3,1,1.5,6
215000,.5,0,15,37000,0,0,1917,4,1,2.5,8
203600,.59,0,33,31700,0,0,2576,4,1,2.5,9
193000,.4,0,18,25000,0,0,2088,4,1,2.5,8
65000,.22,0,73,6900,0,0,1029,3,0,1,6
195000,.35,0,36,39800,0,1,1896,4,1,2.5,8
123500,.08,0,22,17200,0,1,1237,3,1,1.5,6
295000,.95,0,9,78000,0,0,2380,3,1,2.5,7
225000,.62,0,37,32600,0,0,2521,5,1,2.5,9
255250,.5,0,0,17500,0,0,2099,4,1,2.5,8
130000,.18,0,18,18800,0,0,1480,3,0,1.5,6
153000,.51,0,33,34600,0,1,1926,4,1,1.5,8
196000,.55,0,35,34800,0,1,2208,4,1,2.5,8
132000,.19,0,18,18900,0,1,1142,3,0,1.5,6
167000,.51,0,31,34600,0,0,1611,3,1,1.5,6
412500,.6,0,13,88000,0,1,3896,5,2,4.5,11
270000,.38,0,10,38000,0,1,2774,4,1,2.5,9
224900,.11,0,25,32900,0,0,2208,4,1,2.5,8
89900,.19,0,19,13300,0,0,1080,3,0,1.5,6
166000,.48,0,26,31200,0,0,1508,4,1,1.5,7
162500,.34,0,154,11900,0,0,1600,4,0,1,7
215000,2.96,0,19,11000,0,0,1488,3,0,1.5,6
138000,1,0,19,17600,0,0,1552,3,1,2,6
189900,.33,0,14,11900,0,1,1756,4,0,2,7
159000,.03,0,17,18800,0,0,1514,3,1,1.5,6
139500,.15,0,3,15000,0,1,1366,3,0,1.5,6
20000,.52,0,59,8000,0,0,936,2,0,1,5
234500,2,0,164,40000,0,0,2268,3,0,2.5,7
165000,.38,0,48,21300,0,0,1272,4,1,1.5,7
129900,.24,1,64,1400,0,0,1120,2,0,1,5
292000,.57,0,6,15000,0,0,2815,4,1,2.5,9
185000,.55,0,11,19300,0,1,1336,3,1,2,6
100000,.51,0,28,15000,0,0,1170,3,1,1.5,6
182500,.46,0,20,13800,0,0,1475,3,1,2,6
229000,.29,0,3,46400,0,1,1680,3,0,2,6
366703,.15,0,0,95000,0,1,2117,3,1,2.5,7
310000,.17,0,169,220000,0,0,3347,6,2,2.5,12
142900,.36,0,32,50600,0,1,1824,4,1,2.5,7
126000,.68,0,64,84200,0,0,1080,2,0,1,5
185000,.11,0,83,87000,0,0,1250,3,0,1.5,6
549254,.25,0,0,63000,0,1,2885,3,1,2.5,8
235000,.22,0,34,72000,0,1,1578,3,0,2,6
373200,.65,0,4,99500,0,0,2628,4,1,2.5,9
327355,.14,0,14,59400,0,1,1850,3,1,2.5,6
288650,.08,0,0,49800,0,1,2242,3,0,2.5,7
449000,1,0,20,124800,0,1,3457,3,2,2.5,9
139900,.3,0,30,53000,0,0,1178,3,0,1,6
428500,.42,0,4,87200,0,1,3243,4,0,2.5,9
190400,.17,0,16,49500,0,0,1920,3,1,1.5,7
164900,.14,0,77,93000,0,0,616,2,0,1,5
280000,.1,0,79,85000,0,0,1488,4,0,1.5,7
340455,.38,0,0,84800,0,1,2886,4,1,2.5,9
280000,.14,0,84,93000,0,0,1160,3,0,1.5,6
255000,.12,0,104,89000,0,0,1028,2,0,1,5
106000,.48,0,34,63800,0,0,1296,3,0,1,6
335000,.14,0,94,50200,0,1,2004,3,0,2,7
351400,.15,0,1,114000,0,1,1680,2,1,2.5,5
300000,.12,0,4,108300,0,1,1534,3,0,2.5,6
430000,.34,0,5,82400,0,1,2328,3,1,2.5,7
650000,.43,0,2,87800,0,1,2754,3,1,2.5,8
470000,.17,0,135,99000,0,0,2096,3,2,2.5,7
535000,1,0,14,192500,0,1,3254,4,1,2.5,10
86000,.46,0,43,5500,0,0,880,3,0,1,6
90000,.28,0,16,10600,0,0,1342,3,0,1.5,6
86000,.45,0,19,14000,0,0,1055,2,1,1,5
240000,.85,0,34,50400,0,0,2747,4,2,3.5,9
261000,.57,0,14,43200,0,1,2462,4,1,2.5,8
182000,.29,0,21,26300,0,0,1932,3,0,1.5,7
405000,.61,0,6,23900,0,1,3296,4,1,2.5,10
171500,.31,0,37,21500,0,0,1782,3,1,1.5,6
159000,.22,0,18,29600,0,1,1180,2,1,1.5,5
210000,.51,0,11,26900,0,0,1320,3,0,2,6
180000,.31,0,16,36800,0,0,1180,2,0,1.5,5
170000,.37,0,37,24500,0,0,999,3,1,1,6
109000,.15,0,20,15700,0,0,908,2,0,1,5
105000,.16,0,20,15700,0,0,912,2,0,1.5,5
191000,.46,0,26,24500,0,0,1719,3,1,1.5,6
149000,.16,0,19,15100,0,0,1080,2,1,1,5
137500,.16,0,17,15700,0,0,988,2,1,2,5
202000,.43,0,15,25000,0,0,1300,3,0,1.5,6
265000,1,0,25,21700,0,0,1900,3,0,2,7
220000,1,0,43,22900,0,0,672,2,0,1,5
115000,.15,0,17,15100,0,0,1385,2,0,1.5,5
188900,.32,0,18,27000,0,0,1294,3,0,1,6
126000,.16,0,17,15600,0,0,908,2,0,1,5
88000,.16,0,19,15700,0,0,988,2,0,2,5
170000,.35,0,20,27000,0,0,1748,2,0,2,5
137000,.16,0,18,15700,0,0,912,2,1,1.5,5
145000,.15,0,17,15100,0,0,1385,3,0,1.5,6
202000,.43,0,15,25000,0,0,1300,3,0,1.5,6
220300,.58,0,16,38200,0,1,2006,3,1,2,7
255000,1,0,49,69600,0,0,1994,3,1,2,7
187000,.57,0,45,33200,0,0,2088,4,1,2,8
219900,.49,0,18,28600,0,0,2125,4,1,2.5,8
193500,.6,0,38,32000,0,0,2310,4,1,2.5,8
125000,.77,0,126,36300,0,0,1799,3,1,1,6
292500,.47,0,19,75200,0,1,2376,3,1,2.5,7
199500,.48,0,18,36700,0,0,1585,3,1,1.5,6
179000,.43,0,37,31400,0,0,1612,3,1,1.5,6
73000,.28,0,102,22400,0,0,908,2,1,1,5
146500,.12,0,18,18200,0,1,1138,2,1,1,5
65000,.34,0,74,24800,0,0,1692,4,0,1.5,7
107000,.28,0,82,12600,0,0,1568,3,0,1,6
5000,.29,0,4,35800,0,1,1700,3,1,2.5,6
155000,.09,0,25,17600,0,1,1290,2,1,1.5,5
238000,.71,0,35,35100,0,0,2310,4,1,2.5,8
224000,.33,0,31,26500,0,0,2026,3,1,2.5,7
202000,.48,0,39,25400,0,1,1690,3,1,2,6
78000,.33,0,77,33500,0,0,668,1,0,1,4
227000,.46,0,37,27400,0,0,1920,5,1,2.5,9
163000,.23,0,30,19300,0,0,1249,3,0,1.5,6
236000,.42,0,36,30900,0,0,2056,4,1,1.5,8
187000,.32,0,21,35000,0,1,2000,3,0,1.5,7
127000,.17,0,21,11900,0,1,929,2,0,1.5,5
100000,.48,0,42,15800,0,0,1540,4,0,1,7
251000,.77,0,44,47000,0,1,1730,3,1,2,6
123500,.18,0,20,12600,0,0,1215,2,1,1.5,5
124500,.19,0,21,18900,0,0,945,2,0,1,5
271000,.47,0,22,61300,0,1,2003,3,1,2.5,7
129900,.07,0,15,1800,0,1,1480,2,1,2.5,5
302000,.72,0,5,27200,0,0,1888,3,1,2.5,7
168000,.35,0,27,7900,0,1,1836,3,0,2,6
310000,4,0,20,14000,0,0,2208,4,1,2,8
157000,.46,0,18,7800,0,0,1368,3,0,1,6
86125,.01,0,14,1200,0,0,960,2,0,1.5,5
200000,.09,0,90,5900,0,0,1594,2,0,2,5
195000,.76,0,4,18100,0,0,1016,3,0,1.5,6
230000,.79,0,26,16100,0,0,2102,4,1,2.5,8
221000,.29,0,5,7400,0,0,2270,4,0,2.5,8
129900,.39,0,3,15000,0,0,1620,3,0,2,6
58500,.04,0,30,1400,0,0,1140,3,0,1.5,6
212000,1,0,27,5000,0,1,2430,4,0,1,8
262000,.46,0,0,11100,0,0,2364,4,1,2.5,8
97000,.1,0,145,600,0,0,1001,2,0,1,5
230000,.47,0,14,16400,0,0,2304,3,1,2.5,7
380000,2,0,35,36600,0,0,2212,4,1,1.5,8
180000,.16,0,38,54900,0,0,1593,3,0,1.5,6
265000,.18,0,140,56700,0,0,1666,3,0,1,6
255000,.17,0,115,53700,0,0,1023,2,0,1,5
233000,.14,0,129,93000,0,0,1699,4,0,1,7
245000,.03,0,5,27000,0,1,1428,2,1,2.5,5
84500,.2,0,135,7300,0,0,1118,3,0,1,6
182000,.02,0,32,22500,0,0,1753,3,0,1.5,6
354000,.46,0,30,56600,0,1,2462,5,1,2.5,9
220000,.63,0,20,17700,0,0,1596,3,1,2,6
136000,.35,0,39,1600,0,0,1202,3,0,1,6
163000,.36,0,40,3600,0,0,960,3,0,1,6
149350,.44,0,47,4000,0,1,1056,3,0,1,6
235000,.25,0,12,5200,0,1,1820,3,0,3.5,6
210000,.46,0,27,13800,0,1,1890,3,0,2.5,7
159900,.7,0,84,4600,0,0,1274,4,1,1,7
213500,.46,0,17,36600,0,1,1573,3,1,2,6
197000,.41,0,14,26700,0,0,1316,3,0,1.5,6
389405,.35,0,1,233000,1,1,3086,3,1,2.5,8
525000,.46,0,1,70100,0,1,2876,5,1,3.5,10
135000,.01,0,19,9900,0,1,1281,2,0,2.5,5
199900,.21,0,17,28800,0,1,1180,2,1,1.5,5
315513,.46,0,1,108900,1,1,2680,4,1,2.5,9
317105,.44,0,1,108900,0,0,3285,4,1,2.5,10
140000,.17,0,26,15200,0,1,1276,2,1,2,5
149000,.15,0,20,15700,0,0,988,2,0,1,5
278000,.64,0,33,26500,0,0,2625,4,1,2.5,9
335000,.92,0,16,32700,0,1,2274,4,1,2.5,8
304065,.34,0,1,108900,1,0,2670,4,1,3,9
148000,.41,0,84,18200,0,0,1182,3,1,1.5,6
319000,.35,0,12,13000,0,0,1960,4,0,2.5,8
294100,.39,0,11,13000,0,0,2112,3,1,2.5,7
320210,.81,0,1,108900,1,0,2492,3,1,2.5,7
147000,.15,0,20,15100,0,0,1184,3,1,2,6
342269,.39,0,1,108900,1,0,2641,4,1,3,9
149000,.15,0,18,15100,0,0,1385,2,1,1.5,5
150000,.18,0,85,3600,0,0,969,2,0,1,5
149900,.17,0,19,15800,0,0,912,2,1,1.5,5
237500,.37,0,19,27000,0,0,1535,3,0,2,6
367000,1,0,19,21400,0,1,2556,4,1,2.5,9
246000,.34,0,20,27000,0,1,1472,3,1,2,6
148400,.15,0,20,15700,0,0,912,2,1,1.5,5
149000,.16,0,21,15700,0,0,908,2,0,1,5
178000,.48,0,28,24800,0,0,1404,3,1,1.5,6
285000,.36,0,13,13000,0,0,1868,3,1,2.5,7
211000,.49,0,41,28600,0,1,1887,4,1,2.5,8
195900,.4,0,34,30000,0,0,1672,3,1,0,6
263000,.6,0,28,28800,0,0,2570,5,1,2.5,10
165000,.05,0,19,16000,0,1,1480,3,0,2.5,6
305000,.92,0,16,35900,0,0,2290,4,1,2,8
196900,.41,0,35,30500,0,1,1672,4,0,1.5,7
233000,.26,0,30,21900,0,1,1902,3,1,1.5,7
178000,.17,0,18,18700,0,1,1302,2,0,1.5,5
215000,5.65,0,53,69400,0,1,1948,2,1,1.5,6
300000,.08,0,34,37300,0,0,2276,5,1,2.5,9
150000,.07,0,21,16800,0,0,1480,3,0,1.5,6
341000,.57,0,16,68800,0,1,2250,3,1,2.5,7
247000,.34,0,40,39000,0,0,1783,4,1,2.5,7
236000,.15,0,37,38800,0,0,1794,3,0,2,6
225000,.45,0,35,32300,0,0,1756,4,1,1.5,7
365000,.56,0,0,37900,0,0,2950,4,1,2.5,9
265000,.45,0,43,27000,0,0,2564,4,1,2.5,9
217300,.35,0,40,27800,0,0,1663,3,1,1,6
158000,.73,0,85,16400,0,0,1461,3,0,1,6
230000,.5,0,8,4000,0,0,1900,3,0,1.5,7
321000,.1,0,14,21000,0,1,2120,4,0,2.5,8
186030,.37,0,38,9300,0,1,1104,4,0,1,7
290000,.66,0,15,31200,0,1,2305,4,1,2.5,8
212000,.34,0,21,27000,0,0,1508,3,0,1.5,6
245000,.36,0,106,35900,0,0,1836,4,1,1.5,7
260000,.34,0,42,27100,0,0,1803,4,0,1.5,7
183500,.28,0,57,23200,0,0,1121,3,0,1.5,6
